text,label
"Government announces new education policy for universities",REAL
"Scientists publish research findings after a five year study",REAL
"Election commission releases official voting guidelines",REAL
"New technology company launches a software product",REAL
"University announces examination schedule for students",REAL
"Government releases official economic report",REAL
"Scientists discover a new method to improve solar panels",REAL
"National bank announces changes to its official interest rates",REAL
"Researchers publish a study about climate change",REAL
"Ministry announces new scholarship scheme for students",REAL
"Aliens secretly control every government in the world",FAKE
"Scientists discover a miracle medicine that cures every disease",FAKE
"Drinking one glass of water makes humans live forever",FAKE
"Secret organization controls every country in the world",FAKE
"Scientists say humans will never need sleep again",FAKE
"Government hides a secret city under the ocean",FAKE
"Magic fruit discovered that can make people instantly rich",FAKE
"Doctors reveal a secret method to become invisible",FAKE
"Internet users discover that the moon is actually made of plastic",FAKE
"Scientists confirm that eating chocolate gives humans superpowers",FAKE
